Car_name,Year,Distance,Fuel_type,Drive,Price
Hyundai Grand i10,2017,79364,PETROL,MANUAL,503000
Tata NEXON XM,2020,27627,PETROL,MANUAL,787000
Volkswagen Ameo HIGHLINE,2019,28387,PETROL,MANUAL,690000
Nissan MAGNITE XL,2021,33024,PETROL,MANUAL,666000
KIA SELTOS GTX,2019,76470,PETROL,AUTOMATIC,1426000
Mahindra XUV300 W8,2019,51938,DIESEL,MANUAL,900000
Tata NEXON XZA,2019,42134,PETROL,AUTOMATIC,774000
Honda City 1.5L,2015,61150,PETROL,MANUAL,537000
Hyundai Xcent S,2016,35188,PETROL,MANUAL,455999
Nissan Micra XL,2017,69527,PETROL,AUTOMATIC,453000
Honda City 1.5L,2018,82136,PETROL,AUTOMATIC,818000
Honda City 1.5L,2012,69461,PETROL,MANUAL,327000
Nissan MAGNITE XV,2020,21393,PETROL,MANUAL,685000
Ford Ecosport TITANIUM,2018,61864,PETROL,MANUAL,732000
Hyundai i10 MAGNA,2013,32030,PETROL,MANUAL,277000
Volkswagen VIRTUS HIGHLINE,2022,15098,PETROL,MANUAL,1168000
Maruti Swift Dzire,2012,98736,PETROL,MANUAL,368000
Maruti S PRESSO,2021,30830,PETROL,MANUAL,432000
Hyundai Grand i10,2017,41236,PETROL,MANUAL,476000
Hyundai Grand i10,2013,55136,PETROL,MANUAL,312000
Hyundai Creta SX,2017,86283,PETROL,AUTOMATIC,842000
Renault Kwid RXL,2019,64399,PETROL,MANUAL,339000
Maruti Baleno DELTA,2015,88342,PETROL,MANUAL,462000
Maruti Wagon R,2013,42790,PETROL,MANUAL,380000
Hyundai Creta SX,2016,106748,PETROL,MANUAL,797000
Hyundai Elite i20,2019,32047,PETROL,MANUAL,711000
Hyundai GRAND I10,2021,22785,PETROL,MANUAL,593000
Volkswagen VIRTUS TOPLINE,2023,13967,PETROL,AUTOMATIC,1726000
Hyundai NEW SANTRO,2019,20697,PETROL,AUTOMATIC,483000
Hyundai Creta SX,2016,58014,DIESEL,MANUAL,906000
Maruti Ertiga VXI,2014,56777,PETROL,MANUAL,522000
Hyundai Elite i20,2016,71380,PETROL,MANUAL,503000
Honda Jazz 1.2L,2018,30175,PETROL,MANUAL,527000
Hyundai Elite i20,2019,25590,PETROL,AUTOMATIC,618000
Honda Jazz 1.2L,2015,33228,PETROL,MANUAL,396000
Tata Tiago XZ,2016,75937,PETROL,MANUAL,405999
Renault TRIBER RXL,2019,21595,PETROL,MANUAL,513999
Hyundai VENUE SX,2019,49825,PETROL,MANUAL,902999
Hyundai Grand i10,2018,16844,PETROL,AUTOMATIC,521000
Renault Kwid RXL,2023,2843,PETROL,MANUAL,498000
Renault Kwid RXT,2016,68329,PETROL,MANUAL,312000
Maruti Dzire VXI,2023,14404,PETROL,MANUAL,728000
Renault TRIBER RXE,2021,28929,PETROL,MANUAL,565000
Maruti Alto K10,2013,66141,PETROL,MANUAL,217000
Honda City 1.5L,2022,27885,PETROL,MANUAL,976000
Hyundai i20 SPORTZ,2012,94940,DIESEL,MANUAL,408000
