,Car_name,Year,Distance,Fuel_type,Drive,Price
0,Hyundai Creta SX,2018,65357,DIESEL,MANUAL,991000
1,Honda Amaze 1.2L,2018,50840,PETROL,MANUAL,451000
2,Honda Amaze 1.2L,2019,32255,PETROL,MANUAL,617000
3,Hyundai Creta SX,2016,60817,PETROL,MANUAL,951000
4,Hyundai Santro Xing,2014,74647,PETROL,MANUAL,280000
5,Renault Kwid CLIMBER,2018,37113,PETROL,AUTOMATIC,418000
6,Maruti Swift Dzire,2012,43332,PETROL,MANUAL,275000
7,Honda Amaze 1.2L,2019,48876,PETROL,MANUAL,587000
8,Volkswagen Polo HIGHLINE,2019,42625,PETROL,MANUAL,720000
9,Hyundai Creta SX,2017,52427,PETROL,MANUAL,951000
10,Hyundai i10 SPORTZ,2015,86323,PETROL,MANUAL,325000
11,Maruti Vitara Brezza,2021,63677,PETROL,MANUAL,864000
12,Tata TIGOR XZ,2018,71675,DIESEL,MANUAL,546000
13,Nissan MAGNITE XL,2022,29145,PETROL,MANUAL,669000
14,Maruti Swift VXI,2014,48900,PETROL,MANUAL,369000
15,Tata Tiago XT,2022,9985,PETROL,MANUAL,606000
16,Maruti New Wagon-R,2022,16176,PETROL,MANUAL,608000
17,Maruti Vitara Brezza,2020,30949,PETROL,AUTOMATIC,878999
18,Tata NEXON XZ,2022,43698,PETROL,MANUAL,1048000
19,Ford Ecosport TITANIUM,2019,63165,PETROL,MANUAL,795000
20,Maruti New Wagon-R,2022,13103,PETROL,MANUAL,663000
21,Tata Tiago WIZZ,2017,64741,PETROL,MANUAL,436000
22,Tata NEXON XZA,2018,63464,PETROL,AUTOMATIC,720000
23,Tata NEXON XZ,2019,34357,PETROL,MANUAL,801000
24,Maruti Alto VXI,2020,29864,PETROL,MANUAL,397000
25,Maruti Swift Dzire,2013,120050,DIESEL,MANUAL,475000
26,Hyundai Eon ERA,2017,13446,PETROL,MANUAL,276000
27,Renault Kwid RXT,2021,8608,PETROL,MANUAL,476999
28,Hyundai Creta SX,2017,68429,PETROL,AUTOMATIC,918000
29,Hyundai Elite i20,2017,58518,DIESEL,MANUAL,625000
30,Maruti Swift Dzire,2014,51073,PETROL,MANUAL,475000
31,Maruti Eeco 5,2019,34097,PETROL,MANUAL,412000
32,Maruti New Wagon-R,2022,32238,PETROL,MANUAL,629000
33,Maruti Celerio X,2018,14555,PETROL,AUTOMATIC,383000
34,Hyundai Grand i10,2018,61847,PETROL,MANUAL,449000
35,Volkswagen Polo TRENDLINE,2015,65128,PETROL,MANUAL,356000
36,Maruti Ciaz VXI,2015,56050,PETROL,MANUAL,528000
37,Maruti Swift LXI,2017,42401,PETROL,MANUAL,470000
38,Nissan MAGNITE XV,2021,22977,PETROL,MANUAL,699000
39,Hyundai Creta SX,2016,56441,PETROL,AUTOMATIC,961999
40,Maruti Alto 800,2016,11502,PETROL,MANUAL,218000
41,Volkswagen Polo HIGHLINE1.2L,2016,55832,PETROL,MANUAL,505000
42,Volkswagen Ameo HIGHLINE1.2L,2016,11341,PETROL,MANUAL,484000
43,Renault Kwid RXT,2021,7017,PETROL,MANUAL,433000
44,Maruti Swift Dzire,2013,96999,DIESEL,MANUAL,600000
45,Maruti New Wagon-R,2022,27743,PETROL,AUTOMATIC,661000
46,Hyundai Verna 1.6,2019,40049,PETROL,MANUAL,930000
47,Mahindra XUV300 W6,2019,38833,PETROL,MANUAL,806000
48,Maruti Swift Dzire,2013,59700,PETROL,MANUAL,461000
49,Toyota Innova Crysta,2019,53809,DIESEL,MANUAL,1316000
50,Hyundai i10 MAGNA,2011,47943,PETROL,MANUAL,246000
51,Maruti Baleno DELTA,2018,52005,PETROL,MANUAL,524000
52,Renault TRIBER RXT,2022,41652,PETROL,MANUAL,691000
53,Renault Kwid RXL,2018,45146,PETROL,MANUAL,301000
