,Car_name,Year,Distance,Fuel_type,Drive,Price
0,2018 Hyundai Creta SX 1.6 DIESEL DUAL TONE,2018,"65,357 KM",DIESEL,MANUAL,₹9.91 Lakh
1,2018 Honda Amaze 1.2L I-VTEC S OPT,2018,"50,840 KM",PETROL,MANUAL,₹4.51 Lakh
2,2019 Honda Amaze 1.2L I-VTEC V,2019,"32,255 KM",PETROL,MANUAL,₹6.17 Lakh
3,2016 Hyundai Creta SX PLUS 1.6 PETROL,2016,"60,817 KM",PETROL,MANUAL,₹9.51 Lakh
4,2014 Hyundai Santro Xing GLS PLUS AUDIO,2014,"74,647 KM",PETROL,MANUAL,₹2.80 Lakh
5,2018 Renault Kwid CLIMBER 1.0 AMT,2018,"37,113 KM",PETROL,AUTOMATIC,₹4.18 Lakh
6,2012 Maruti Swift Dzire VXI,2012,"43,332 KM",PETROL,MANUAL,₹2.75 Lakh
7,2019 Honda Amaze 1.2L I-VTEC S,2019,"48,876 KM",PETROL,MANUAL,₹5.87 Lakh
8,2019 Volkswagen Polo HIGHLINE PLUS 1.0,2019,"42,625 KM",PETROL,MANUAL,"₹7.20 Lakh
₹7.83 Lakh
(63k off)"
9,2017 Hyundai Creta SX PLUS 1.6 PETROL,2017,"52,427 KM",PETROL,MANUAL,₹9.51 Lakh
10,2015 Hyundai i10 SPORTZ 1.1,2015,"86,323 KM",PETROL,MANUAL,₹3.25 Lakh
11,2021 Maruti Vitara Brezza ZXI PLUS,2021,"63,677 KM",PETROL,MANUAL,₹8.64 Lakh
12,2018 Tata TIGOR XZ DIESEL,2018,"71,675 KM",DIESEL,MANUAL,₹5.46 Lakh
13,2022 Nissan MAGNITE XL,2022,"29,145 KM",PETROL,MANUAL,₹6.69 Lakh
14,2014 Maruti Swift VXI,2014,"48,900 KM",PETROL,MANUAL,₹3.69 Lakh
15,2022 Tata Tiago XT PETROL,2022,"9,985 KM",PETROL,MANUAL,₹6.06 Lakh
16,2022 Maruti New Wagon-R ZXI 1.2,2022,"16,176 KM",PETROL,MANUAL,"₹6.08 Lakh
₹6.68 Lakh
(60k off)"
17,2020 Maruti Vitara Brezza VXI AT SHVS,2020,"30,949 KM",PETROL,AUTOMATIC,₹8.79 Lakh
18,2022 Tata NEXON XZ PLUS PETROL SUNROOF,2022,"43,698 KM",PETROL,MANUAL,₹10.48 Lakh
19,2019 Ford Ecosport TITANIUM 1.5L PETROL,2019,"63,165 KM",PETROL,MANUAL,₹7.95 Lakh
20,2022 Maruti New Wagon-R ZXI 1.2,2022,"13,103 KM",PETROL,MANUAL,₹6.63 Lakh
21,2017 Tata Tiago WIZZ EDITION PETROL,2017,"64,741 KM",PETROL,MANUAL,₹4.36 Lakh
22,2018 Tata NEXON XZA PLUS PETROL,2018,"63,464 KM",PETROL,AUTOMATIC,₹7.20 Lakh
23,2019 Tata NEXON XZ PLUS PETROL,2019,"34,357 KM",PETROL,MANUAL,₹8.01 Lakh
24,2020 Maruti Alto VXI,2020,"29,864 KM",PETROL,MANUAL,₹3.97 Lakh
25,2013 Maruti Swift Dzire ZDI,2013,"1,20,050 KM",DIESEL,MANUAL,₹4.75 Lakh
26,2017 Hyundai Eon ERA +,2017,"13,446 KM",PETROL,MANUAL,₹2.76 Lakh
27,2021 Renault Kwid RXT 1.0 (O),2021,"8,608 KM",PETROL,MANUAL,₹4.77 Lakh
28,2017 Hyundai Creta SX PLUS AT 1.6 PETROL,2017,"68,429 KM",PETROL,AUTOMATIC,"₹9.18 Lakh
₹9.28 Lakh
(10k off)"
29,2017 Hyundai Elite i20 ASTA 1.4 CRDI (O),2017,"58,518 KM",DIESEL,MANUAL,₹6.25 Lakh
30,2014 Maruti Swift Dzire VXI,2014,"51,073 KM",PETROL,MANUAL,₹4.75 Lakh
31,2019 Maruti Eeco 5 STR WITH A/C+HTR,2019,"34,097 KM",PETROL,MANUAL,"₹4.12 Lakh
₹4.40 Lakh
(28k off)"
32,2022 Maruti New Wagon-R ZXI 1.2,2022,"32,238 KM",PETROL,MANUAL,₹6.29 Lakh
33,2018 Maruti Celerio X VXI AMT,2018,"14,555 KM",PETROL,AUTOMATIC,₹3.83 Lakh
34,2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2018,"61,847 KM",PETROL,MANUAL,₹4.49 Lakh
35,2015 Volkswagen Polo TRENDLINE 1.2L PETROL,2015,"65,128 KM",PETROL,MANUAL,₹3.56 Lakh
36,2015 Maruti Ciaz VXI,2015,"56,050 KM",PETROL,MANUAL,₹5.28 Lakh
37,2017 Maruti Swift LXI (O),2017,"42,401 KM",PETROL,MANUAL,₹4.70 Lakh
38,2021 Nissan MAGNITE XV MT,2021,"22,977 KM",PETROL,MANUAL,₹6.99 Lakh
39,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,2016,"56,441 KM",PETROL,AUTOMATIC,"₹9.62 Lakh
₹10.03 Lakh
(41k off)"
40,2016 Maruti Alto 800 VXI,2016,"11,502 KM",PETROL,MANUAL,₹2.18 Lakh
41,2016 Volkswagen Polo HIGHLINE1.2L,2016,"55,832 KM",PETROL,MANUAL,₹5.05 Lakh
42,2016 Volkswagen Ameo HIGHLINE1.2L,2016,"11,341 KM",PETROL,MANUAL,"₹4.84 Lakh
₹5.20 Lakh
(36k off)"
43,2021 Renault Kwid RXT 0.8,2021,"7,017 KM",PETROL,MANUAL,"₹4.33 Lakh
₹4.80 Lakh
(47k off)"
44,2013 Maruti Swift Dzire ZDI,2013,"96,999 KM",DIESEL,MANUAL,₹6.00 Lakh
45,2022 Maruti New Wagon-R ZXI 1.2 AMT,2022,"27,743 KM",PETROL,AUTOMATIC,₹6.61 Lakh
46,2019 Hyundai Verna 1.6 VTVT SX O,2019,"40,049 KM",PETROL,MANUAL,₹9.30 Lakh
47,2019 Mahindra XUV300 W6 1.2 PETROL,2019,"38,833 KM",PETROL,MANUAL,₹8.06 Lakh
48,2013 Maruti Swift Dzire VXI,2013,"59,700 KM",PETROL,MANUAL,₹4.61 Lakh
49,2019 Toyota Innova Crysta 2.4 GX 8 STR,2019,"53,809 KM",DIESEL,MANUAL,"₹13.16 Lakh
₹14.60 Lakh
(1.44L off)"
50,2011 Hyundai i10 MAGNA 1.2,2011,"47,943 KM",PETROL,MANUAL,"₹2.46 Lakh
₹2.65 Lakh
(19k off)"
51,2018 Maruti Baleno DELTA PETROL 1.2,2018,"52,005 KM",PETROL,MANUAL,₹5.24 Lakh
52,2022 Renault TRIBER RXT LIMITED EDITION,2022,"41,652 KM",PETROL,MANUAL,₹6.91 Lakh
53,2018 Renault Kwid RXL,2018,"45,146 KM",PETROL,MANUAL,₹3.01 Lakh
54,2021 Renault Kwid NEOTECH RXL 0.8,2021,"9,814 KM",PETROL,MANUAL,₹4.49 Lakh
55,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,2016,"56,020 KM",PETROL,AUTOMATIC,"₹9.24 Lakh
₹9.70 Lakh
(46k off)"
56,2014 Hyundai Xcent S 1.2,2014,"42,400 KM",PETROL,MANUAL,₹4.16 Lakh
57,2019 Renault TRIBER RXL MT,2019,"21,595 KM",PETROL,MANUAL,₹5.14 Lakh
58,2011 Honda City 1.5L I-VTEC V MT,2011,"88,820 KM",PETROL,MANUAL,₹2.97 Lakh
59,2015 Hyundai Elite i20 ASTA 1.4 CRDI,2015,"1,13,255 KM",DIESEL,MANUAL,₹5.92 Lakh
60,2018 Maruti Celerio VXI AMT (O),2018,"69,185 KM",PETROL,AUTOMATIC,₹4.76 Lakh
61,2020 Tata Tiago XZ PLUS DUAL TONE PETROL,2020,"61,102 KM",PETROL,MANUAL,₹6.83 Lakh
62,2014 Maruti Ertiga VXI CNG,2014,"1,11,085 KM",CNG,MANUAL,₹5.66 Lakh
63,2019 Ford Ecosport TITANIUM 1.5L DIESEL,2019,"27,603 KM",DIESEL,MANUAL,₹7.12 Lakh
64,2017 Maruti Baleno ZETA PETROL 1.2,2017,"33,236 KM",PETROL,MANUAL,₹5.80 Lakh
65,2017 Honda WR-V 1.2L I-VTEC VX MT,2017,"60,620 KM",PETROL,MANUAL,₹6.10 Lakh
66,2016 Honda City 1.5L I-VTEC VX,2016,"56,424 KM",PETROL,MANUAL,₹6.59 Lakh
67,2018 Maruti Alto 800 LXI CNG,2018,"27,491 KM",CNG,MANUAL,₹3.22 Lakh
68,2015 Honda City 1.5L I-VTEC SV CVT,2015,"1,10,184 KM",PETROL,AUTOMATIC,₹5.40 Lakh
69,2019 Honda WR-V 1.2L I-VTEC VX MT,2019,"64,337 KM",PETROL,MANUAL,₹7.64 Lakh
70,2022 Hyundai VENUE SX 1.0 TURBO,2022,"48,908 KM",PETROL,MANUAL,₹9.17 Lakh
71,2016 Honda City 1.5L I-VTEC SV,2016,"83,615 KM",PETROL,MANUAL,₹5.78 Lakh
72,2017 Maruti Vitara Brezza VDI,2017,"53,069 KM",DIESEL,MANUAL,₹6.78 Lakh
73,2020 Renault Kwid RXL,2020,"32,402 KM",PETROL,MANUAL,₹4.15 Lakh
74,2019 Renault Kwid RXT 1.0 (O),2019,"73,117 KM",PETROL,MANUAL,₹3.51 Lakh
75,2015 Maruti Swift VXI,2015,"71,888 KM",PETROL,MANUAL,₹3.99 Lakh
76,2017 Tata Tiago XZ PETROL,2017,"54,652 KM",PETROL,MANUAL,₹4.36 Lakh
77,2017 Maruti Swift VXI O,2017,"10,824 KM",PETROL,MANUAL,₹5.23 Lakh
78,2016 Volkswagen Polo COMFORTLINE 1.2L,2016,"87,125 KM",PETROL,MANUAL,₹4.15 Lakh
79,2018 Maruti Dzire ZXI PLUS,2018,"83,011 KM",PETROL,MANUAL,₹5.79 Lakh
80,2020 Datsun Redi Go A,2020,"31,958 KM",PETROL,MANUAL,₹3.24 Lakh
81,2018 Hyundai Creta SX 1.6 DIESEL,2018,"51,945 KM",DIESEL,MANUAL,₹10.65 Lakh
82,2019 Skoda Rapid AMBITION 1.6 MPI MT,2019,"39,510 KM",PETROL,MANUAL,₹7.74 Lakh
83,2016 Maruti Swift Dzire VXI (O),2016,"34,756 KM",PETROL,MANUAL,₹5.35 Lakh
84,2020 Maruti Dzire VXI,2020,"55,605 KM",PETROL,MANUAL,₹6.78 Lakh
85,2019 Tata NEXON XZA PLUS PETROL,2019,"61,263 KM",PETROL,AUTOMATIC,₹7.60 Lakh
86,2018 Volkswagen Polo COMFORTLINE 1.0L MPI,2018,"1,01,656 KM",PETROL,MANUAL,₹5.32 Lakh
87,2020 Ford Ecosport TITANIUM 1.5L DIESEL,2020,"66,213 KM",DIESEL,MANUAL,₹8.52 Lakh
88,2018 Maruti Baleno DELTA CVT PETROL 1.2,2018,"70,189 KM",PETROL,AUTOMATIC,₹5.76 Lakh
89,2021 Hyundai VENUE SX 1.0 TURBO,2021,"22,683 KM",PETROL,MANUAL,₹9.63 Lakh
90,2023 KIA SONET GTX PLUS 1.5 IMT,2023,"6,825 KM",DIESEL,MANUAL,₹14.20 Lakh
