iter	RMSE
0	296310.0589
1	289675.1274
2	283513.5394
3	277581.4495
4	271982.4022
5	266836.1899
6	262202.0993
7	257825.8901
8	253742.5197
9	249818.9449
10	246326.4447
11	242722.2998
12	239579.4901
13	236481.9851
14	233805.8687
15	231355.0495
16	229000.0508
17	226668.7843
18	224625.2887
19	222248.337
20	220114.25
21	218152.667
22	216284.0162
23	214839.0319
24	213154.834
25	211664.4326
26	210215.9786
27	208642.3537
28	207024.8107
29	205781.318
30	204416.4594
31	203161.0765
32	201974.3247
33	200917.7638
34	199741.2952
35	198693.7401
36	197424.6817
37	196522.2444
38	195630.0859
39	194630.4514
40	193771.3113
41	192944.0471
42	192079.8549
43	191166.7186
44	190208.5415
45	189518.6939
46	188732.379
47	187984.5063
48	187329.0627
49	186726.2186
50	185892.5397
51	185394.4292
52	184552.3851
53	183808.3534
54	183280.4339
55	182579.0291
56	182009.9477
57	181427.7609
58	180770.8766
59	180299.1554
60	179673.5507
61	178995.6252
62	178463.1929
63	177853.7268
64	177294.865
65	176756.406
66	176166.0304
67	175672.2031
68	175128.2456
69	174633.7266
70	174114.6103
71	173695.7444
72	173198.4802
73	172932.4349
74	172530.9017
75	172121.2483
76	171794.8388
77	171375.556
78	170889.4709
79	170573.0939
80	170211.4263
81	169872.7185
82	169404.462
83	169039.8081
84	168571.5974
85	168218.603
86	167834.4168
87	167407.243
88	167017.4371
89	166630.0195
90	166187.4751
91	165908.1094
92	165604.893
93	165311.9539
94	165060.8716
95	164593.6072
96	164300.3713
97	163972.1862
98	163646.4136
99	163339.7163
100	163035.5454
101	162734.1645
102	162405.3677
103	162058.5874
104	161672.7328
105	161299.3372
106	160978.0176
107	160799.9113
108	160557.8365
109	160375.3783
110	160103.603
111	159802.9829
112	159582.2804
113	159252.7268
114	158943.1886
115	158637.1532
116	158435.5234
117	158095.9393
118	157940.2837
119	157667.713
120	157349.6635
121	157131.82
122	156835.8575
123	156740.7499
124	156492.7524
125	156403.1506
126	156122.0645
127	155839.4154
128	155521.8449
129	155189.4849
130	154898.8146
131	154617.2201
132	154386.9713
133	154099.1478
134	153974.1067
135	153723.0565
136	153434.2391
137	153284.08
138	152984.8836
139	152710.0254
